cubetype,solvetype,time,date,steps,plustwo,blind,scrambleType,scramble,comment
3x3x3,"大歐派蘿莉",31.50,Jan 6 2019 - 12:00:21,,n,n,,"U' L2 B2 F2 D' F2 D' U2 F' L2 B2 U' L' B' D B2 D2 L2 R ",
3x3x3,"大歐派蘿莉",32.32,Jan 6 2019 - 11:41:08,,n,n,,"F2 U' F2 U' L2 U F2 L2 U' B2 D' F' R' U2 B2 F2 R' F' D' L2 ",
3x3x3,"大歐派蘿莉",26.58,Jan 6 2019 - 11:40:11,,n,n,,"B2 R2 U2 F2 D U2 F2 D F2 L2 D F2 L' U' L2 B D2 L' U' B' L ",
3x3x3,"大歐派蘿莉",31.86,Jan 6 2019 - 11:39:07,,n,n,,"L2 D B2 R2 U F2 D R2 D' U' R' B2 D' B2 L2 B' F2 R' B' R2 U2 ",
3x3x3,"大歐派蘿莉",34.46,Jan 4 2019 - 15:48:26,,n,n,,"F2 L2 U2 B2 D2 U' R2 B2 D R2 U' B R' U2 R2 F U' L' U' F2 L ",
3x3x3,"大歐派蘿莉",30.92,Jan 4 2019 - 15:46:12,,n,n,,"U2 L2 D B2 D B2 L2 U' R2 U' F' U L U' B D2 F L U' F' D2 ",
3x3x3,"大歐派蘿莉",27.44,Jan 4 2019 - 15:34:08,,n,n,,"F2 R2 B2 R2 D2 F2 D' R2 D2 U' B R F2 L' B' L2 D U R2 F R' ",
3x3x3,"大歐派蘿莉",26.50,Jan 4 2019 - 15:33:12,,n,n,,"F2 U L2 F2 L2 R2 U2 F2 U2 F2 U' L F' R B' L2 R D' R' F R' ",
3x3x3,"大歐派蘿莉",25.87,Jan 4 2019 - 15:29:44,,n,n,,"D' L2 U' B2 L2 U B2 R2 U2 L2 F2 R' B L' R2 D L2 B2 D R' U ",
3x3x3,"大歐派蘿莉",34.48,Jan 4 2019 - 15:27:32,,n,n,,"L2 U' F2 D' L2 D F2 U' R2 U2 B2 L U B2 F' R' U' L R2 F D ",
3x3x3,"大歐派蘿莉",25.14,Jan 4 2019 - 15:26:41,,n,n,,"L2 D' B2 R2 U2 F2 U2 B2 L2 D2 U' B2 F L2 R' B' F' R B' F ",
3x3x3,"大歐派蘿莉",27.51,Jan 4 2019 - 15:25:55,,n,n,,"U2 L2 B2 D' L2 U R2 F2 D' B2 L2 D' B' R D2 F2 R B' D' B' U' ",
